coordination,base_planner,problem_id,difficulty,trial_seed,success,planner_solved,audit_passed,planning_time_seconds,path_makespan_seconds,path_mean_agent_time_seconds,path_cost,tree_nodes,high_level_nodes,iterations,checked_waypoints,error
kcbs,vanilla,1,medium,2026082219,False,False,False,30.02301940000325,,,,431,1,0,85299,
kcbs,vanilla,2,hard,2026082200,False,False,False,30.048626499999955,,,,515,1,0,92165,
kcbs,vanilla,2,hard,2026082201,False,False,False,30.01617819999956,,,,437,1,0,89740,
kcbs,vanilla,2,hard,2026082202,False,False,False,30.01667930000258,,,,411,1,0,82886,
kcbs,vanilla,2,hard,2026082203,False,False,False,30.012523400000646,,,,543,1,0,94163,
kcbs,vanilla,2,hard,2026082204,False,False,False,30.044437700002163,,,,446,1,0,88880,
kcbs,vanilla,2,hard,2026082205,False,False,False,30.020954200001142,,,,396,1,0,83422,
kcbs,vanilla,2,hard,2026082206,False,False,False,30.04544850000093,,,,496,1,0,94542,
kcbs,vanilla,2,hard,2026082207,False,False,False,30.0173766999942,,,,454,1,0,90182,
kcbs,vanilla,2,hard,2026082208,False,False,False,30.03480500000296,,,,462,1,361,93356,
kcbs,vanilla,2,hard,2026082209,False,False,False,30.02850749999925,,,,384,1,0,78802,
kcbs,vanilla,2,hard,2026082210,False,False,False,30.006461500001024,,,,482,1,285,94548,
kcbs,vanilla,2,hard,2026082211,False,False,False,30.014129000002868,,,,439,1,0,90701,
kcbs,vanilla,2,hard,2026082212,False,False,False,30.02669859999878,,,,469,1,0,91043,
kcbs,vanilla,2,hard,2026082213,False,False,False,30.022842599995784,,,,462,1,0,88431,
kcbs,vanilla,2,hard,2026082214,False,False,False,30.02952969999751,,,,412,1,0,85581,
kcbs,vanilla,2,hard,2026082215,False,False,False,30.04660330000479,,,,411,1,0,84586,
kcbs,vanilla,2,hard,2026082216,False,False,False,30.04760250000254,,,,409,1,0,85664,
kcbs,vanilla,2,hard,2026082217,False,False,False,30.01392450000276,,,,409,1,0,84241,
kcbs,vanilla,2,hard,2026082218,False,False,False,30.018537999996624,,,,483,1,0,91540,
kcbs,vanilla,2,hard,2026082219,False,False,False,30.022283999998763,,,,436,1,0,87328,
prioritized,flow,0,easy,2026082200,False,False,False,30.093336899997666,,,,1840,0,1992,59082,
prioritized,flow,0,easy,2026082201,True,True,True,7.87749310000072,2.12,1.205,4.82,330,0,326,13955,
prioritized,flow,0,easy,2026082202,False,False,False,29.99931149999975,,,,2161,0,2921,68609,
prioritized,flow,0,easy,2026082203,True,True,True,1.5712973999980022,0.6,0.44500000000000006,1.7800000000000002,46,0,39,1472,
prioritized,flow,0,easy,2026082204,True,True,True,27.842261300000246,1.86,1.145,4.58,1205,0,1499,42516,
prioritized,flow,0,easy,2026082205,True,True,True,8.86846080000032,1.34,0.5900000000000001,2.3600000000000003,370,0,378,14722,
prioritized,flow,0,easy,2026082206,True,True,True,5.026141199999984,0.9400000000000001,0.605,2.42,152,0,146,6599,
